beer_name,beer_rate
Mango Guava Pop!,4.25
Resplendent Angel,4.5
Serpent Bite,3.58
Bale,4.75
Sul Americana,2.83
Sweet Baby Java,3.79
Watermelon Lemon Shandy,2.93
Ghost In The Machine - Double Dry-Hopped,4.75
Nothing Left to Give,4
Rocket Science IPA,3.44
Pillbox Porter,3.51
Devil's Trill II,4.19
Blueberry Lemonade Sour,4
Lemon Cucumber Gose,3.85
Make America Juicy Again,4
Ghost In The Machine,4.24
Do You Even Zest,4
Citrus Redacted,3.77
Envie,4
Tartastic Strawberry Lemon,3
Black Butte XXX,4.54
22nd Anniversary Anni-Matter Double IPA,4.12
Judge Roy Bean Coffee Stout,3.83
///Fear.Movie.Lions,4.15
Dead 'N' Dead,3.54
Chimay Grande R̩serve Barrel Aged,4.56
Curmudgeon's Better Half,4.04
Big Bark Amber Lager,3.5
Festbier,3.78
Tiki Totem IPA,3.68
1897 Pilsner,3.71
Indian Brown Ale,4.5
Dirty Blonde Ale,3.03
Dixie's Heart Irish Red Ale,3.04
Montucky Cold Snack,2.84
Oktoberfest,3.13
Speedway Stout - Vietnamese Coffee,4.44
Mood Ring w/ Peaches & Cinnamon,4.31
Mama's Little Yella Pils,3.85
Petite Golden Sour,3.62
G'Knight,4.15
White Wine Barrel Aged Sour Wench,3.94
IPA,4.07
Firestone 17 - Anniversary Ale,4.83
The Brut Squad,3.75
Tennessee Jed,4
Agua Fria Pilsner,3.96
Freja Harvest Sour,3.95
Devil's Trill I,4.03
Always Something,4.31
